Age,Gender,Attendance,Study_Hours,Previous_Grade,Assignments_Submitted,Family_Income,Internet_Access,Parental_Education,Distance_From_College,Scholarship,Extracurricular,Semester,CGPA,Backlogs,Dropout
19,Male,86,3,66,1,34042,No,Graduate,4,Yes,Yes,4,4.64,4,1
17,Female,76,7,57,9,25086,No,Postgraduate,12,Yes,No,1,8.32,0,0
20,Male,51,4,67,8,27387,Yes,Graduate,7,No,No,5,9.13,5,1
18,Female,76,4,90,8,37042,No,Graduate,15,Yes,Yes,7,5.54,1,0
24,Female,88,3,86,7,99424,Yes,School,7,No,No,1,4.13,3,1
20,Female,88,1,86,9,61618,No,Graduate,29,No,No,6,5.34,3,1
18,Male,95,7,43,9,28323,No,Graduate,22,No,Yes,1,4.34,1,0
22,Male,83,6,46,0,28019,No,Graduate,26,Yes,Yes,1,4.62,3,1
22,Male,95,3,84,1,85426,No,School,21,Yes,No,8,6.59,1,0
20,Female,67,6,74,5,50863,Yes,Postgraduate,17,No,No,8,5.38,0,0
22,Male,86,5,87,9,20283,Yes,Postgraduate,16,No,No,1,7.1,1,0
18,Female,54,4,48,4,28279,No,Graduate,28,Yes,No,7,5.52,4,1
18,Male,45,6,47,8,56999,No,School,19,No,Yes,8,9.64,4,1
20,Female,83,2,91,4,72780,Yes,Graduate,9,No,No,1,9.44,2,0
24,Male,98,6,84,1,32908,Yes,Postgraduate,14,Yes,Yes,4,7.4,3,0
23,Male,59,5,56,9,71584,Yes,School,17,No,Yes,5,6.13,5,1
25,Male,89,7,56,3,60225,Yes,Postgraduate,5,Yes,No,8,6.29,3,0
24,Female,53,4,88,8,47952,No,Postgraduate,2,Yes,No,8,6.47,1,0
21,Female,41,3,72,0,47663,No,School,20,No,No,6,8.37,5,1
18,Male,48,5,71,0,71381,Yes,School,16,Yes,Yes,1,6.71,5,1
21,Male,76,4,47,6,57929,Yes,Graduate,14,Yes,Yes,1,9.14,3,0
24,Female,59,6,58,2,19343,Yes,Graduate,14,Yes,Yes,1,9.66,5,1
25,Female,65,7,77,9,86173,Yes,Postgraduate,27,No,Yes,1,6.02,5,0
25,Female,68,1,42,1,49791,Yes,School,1,No,No,8,7.36,4,1
17,Male,40,7,98,8,39134,Yes,School,3,No,Yes,2,4.57,0,1
25,Female,94,1,44,2,57101,No,Graduate,26,Yes,Yes,2,5.2,1,1
23,Male,74,2,52,1,79443,No,Postgraduate,7,Yes,No,3,6.48,3,1
25,Female,45,7,86,7,67530,No,Postgraduate,26,No,Yes,1,5.24,4,1
24,Male,76,4,85,9,56799,Yes,Graduate,15,No,Yes,3,9.26,2,0
17,Female,92,1,70,5,14827,Yes,School,19,Yes,No,4,4.95,5,1
24,Female,98,3,94,5,72653,Yes,Graduate,20,No,Yes,3,6.73,5,0
24,Female,44,4,55,9,23699,No,Graduate,2,No,Yes,5,7.63,3,1
19,Female,72,3,89,6,15313,Yes,Graduate,19,No,Yes,2,8.15,0,0
17,Female,88,7,71,6,23598,Yes,Graduate,9,No,Yes,2,6.3,0,0
24,Male,90,3,61,5,38807,No,School,19,No,No,1,9.21,3,0
19,Female,53,1,68,3,80423,Yes,Graduate,27,Yes,Yes,8,7.41,3,1
19,Female,51,4,61,8,79390,No,School,5,No,No,1,6.64,4,1
17,Female,81,6,82,5,55226,No,Graduate,18,No,Yes,4,4.4,3,1
21,Male,59,5,42,3,69550,Yes,Postgraduate,16,Yes,No,6,6.79,2,0
23,Female,92,1,93,2,90072,No,School,4,Yes,No,4,8.92,4,1
25,Male,89,1,49,3,13558,Yes,Postgraduate,12,Yes,No,5,7.69,5,1
23,Female,63,6,81,2,85308,No,Graduate,29,Yes,Yes,1,8.99,5,0
25,Female,98,4,60,1,60113,Yes,Graduate,7,No,Yes,1,6.96,5,0
24,Male,82,4,55,4,62999,No,Graduate,14,No,Yes,4,4.71,5,1
18,Female,73,7,51,1,65878,Yes,School,23,No,No,4,4.08,1,0
17,Male,64,3,41,5,46343,No,Postgraduate,12,No,Yes,4,5.82,2,0
23,Male,89,7,80,2,68219,No,School,3,Yes,Yes,2,8.19,4,0
23,Female,68,6,63,5,45186,No,School,5,Yes,Yes,3,8.74,4,0
24,Male,96,7,74,9,46966,Yes,Graduate,17,No,Yes,3,5.77,5,1
21,Female,78,6,95,8,43769,Yes,Postgraduate,26,No,No,1,6.97,0,0
19,Female,70,4,69,0,63218,No,Graduate,10,No,No,2,6.53,4,0
24,Male,95,3,96,5,29229,Yes,School,10,No,Yes,4,6.46,2,0
22,Male,86,7,69,8,85209,No,Graduate,11,Yes,Yes,1,5.39,3,1
19,Male,82,1,86,3,37877,Yes,Postgraduate,17,No,Yes,2,4.82,2,1
17,Male,89,2,74,1,68001,No,Graduate,5,Yes,No,5,5.18,5,1
19,Female,62,5,58,3,48084,Yes,Postgraduate,13,Yes,Yes,6,4.33,5,1
21,Female,83,1,89,0,91780,No,Postgraduate,10,Yes,No,2,5.19,1,1
19,Male,77,4,47,2,26806,No,Graduate,9,Yes,No,7,4.06,4,1
17,Female,59,5,65,9,98635,No,School,17,No,Yes,1,7.76,4,1
21,Female,62,2,88,8,47034,No,Graduate,1,No,Yes,8,5.9,4,1
23,Female,84,2,79,9,50317,Yes,School,4,No,Yes,3,9.84,5,1
23,Female,91,3,46,4,65468,No,School,4,No,No,7,5.16,4,1
25,Male,55,5,69,5,29094,Yes,Graduate,18,Yes,No,4,6.07,0,0
19,Male,89,3,46,2,67796,Yes,School,9,Yes,Yes,6,6.15,0,0
23,Female,81,1,42,4,20589,No,School,25,Yes,No,8,4.05,3,1
17,Male,99,6,40,7,67221,Yes,Graduate,29,No,Yes,5,9.04,4,0
20,Male,94,6,75,5,11657,Yes,Graduate,29,Yes,Yes,8,4.19,1,0
20,Male,47,6,64,3,49531,Yes,Graduate,18,Yes,No,6,9.64,3,1
21,Female,89,5,76,1,62227,No,School,14,Yes,No,8,9.35,5,0
23,Female,60,6,40,8,13164,Yes,Postgraduate,25,Yes,No,6,7.21,4,0
23,Female,40,1,54,0,93973,Yes,School,15,No,No,2,7.26,0,1
20,Male,94,3,76,0,51247,No,Postgraduate,6,Yes,Yes,1,7.92,1,0
23,Female,47,5,52,3,29601,No,Graduate,24,Yes,Yes,8,6.32,3,1
19,Female,68,3,79,6,60599,Yes,Postgraduate,10,No,Yes,8,7.88,1,0
22,Male,71,5,47,0,81545,No,Graduate,29,No,No,1,4.27,4,1
18,Female,77,3,44,8,14552,Yes,Graduate,15,No,Yes,6,4.32,2,0
25,Female,44,2,99,3,19417,Yes,Postgraduate,29,Yes,No,4,6.74,1,1
21,Male,86,3,48,2,68579,Yes,Graduate,4,Yes,No,1,7.3,1,0
22,Male,61,6,40,0,78207,No,Postgraduate,18,Yes,No,6,9.33,5,0
20,Male,86,2,75,9,82055,Yes,Graduate,18,Yes,Yes,1,4.63,0,1
23,Female,73,3,74,3,88270,No,School,25,No,No,4,8.94,4,0
25,Female,40,5,41,8,13722,No,School,17,Yes,No,5,5.26,1,1
23,Female,94,5,79,9,80442,Yes,Graduate,12,Yes,No,7,6.36,4,0
17,Male,94,5,62,5,50031,No,Graduate,7,No,No,6,5.9,0,0
17,Male,65,4,48,5,89235,No,Postgraduate,16,No,No,3,6.4,5,0
25,Female,82,1,73,0,31438,No,School,11,No,No,3,4.9,4,1
25,Female,49,5,85,9,68819,No,Postgraduate,14,Yes,No,6,7.02,0,0
20,Male,69,2,53,1,53856,No,Graduate,3,Yes,No,2,8.81,0,0
25,Male,89,5,43,5,43576,Yes,Graduate,19,Yes,No,5,6.65,3,0
19,Male,57,4,69,1,51938,No,Postgraduate,18,Yes,No,2,6.94,5,1
23,Male,56,6,70,2,59028,Yes,Graduate,10,Yes,No,7,9.09,5,1
22,Female,65,2,77,3,69807,Yes,School,6,No,No,3,8.24,4,1
24,Male,47,4,50,4,59877,Yes,Postgraduate,13,No,Yes,4,6.94,2,0
25,Female,86,6,74,8,53461,Yes,School,10,Yes,Yes,6,5.55,3,1
21,Female,79,7,47,3,50469,Yes,School,18,Yes,No,7,9.31,5,0
17,Female,88,7,42,8,93136,Yes,School,26,Yes,No,8,7.46,0,0
19,Male,51,2,53,9,30435,No,Postgraduate,20,Yes,No,8,5.33,5,1
24,Male,66,3,99,2,94117,No,Graduate,26,Yes,Yes,1,5.61,2,0
22,Male,47,1,52,7,24191,No,School,16,No,Yes,3,8.82,1,1
24,Male,64,1,84,0,94726,Yes,School,25,No,Yes,5,4.26,1,1
25,Female,85,4,71,8,37386,No,School,25,No,No,3,9.95,5,0
20,Male,43,6,73,8,41721,No,Graduate,6,Yes,No,5,4.78,5,1
17,Male,72,1,84,9,64786,No,Graduate,13,Yes,No,5,8.78,3,1
17,Female,40,6,58,1,23704,Yes,Postgraduate,4,No,No,6,6.37,5,1
20,Male,58,6,98,3,66635,No,Graduate,23,No,Yes,5,6.95,2,0
23,Female,70,4,77,7,12123,Yes,Postgraduate,14,Yes,No,2,9.28,5,0
18,Female,55,4,55,6,72993,No,Postgraduate,1,No,Yes,8,6.48,4,1
19,Female,53,4,41,0,90122,Yes,Postgraduate,28,No,Yes,7,7.22,2,0
17,Female,92,1,79,4,35416,Yes,Postgraduate,20,Yes,No,4,4.3,3,1
21,Female,87,7,56,6,11814,Yes,Postgraduate,5,No,Yes,3,4.01,4,1
17,Female,44,4,94,3,88537,No,School,8,No,Yes,4,5.47,4,1
24,Female,80,1,73,0,60258,No,Graduate,12,No,Yes,7,8.08,1,0
17,Female,65,4,81,8,26508,Yes,School,2,Yes,Yes,1,4.73,2,0
17,Male,67,5,99,4,95166,No,Postgraduate,12,No,No,7,4.68,4,1
18,Male,41,6,55,1,88916,Yes,Graduate,5,No,No,3,6.47,3,1
18,Male,89,4,77,7,45699,Yes,School,22,No,Yes,8,7.89,1,0
22,Male,45,2,99,1,56335,No,School,5,Yes,No,4,8.27,4,1
23,Female,48,6,41,2,56806,No,Postgraduate,13,Yes,Yes,4,5.07,2,1
21,Male,72,6,41,9,87853,No,School,9,No,No,6,4.48,1,0
17,Female,80,4,65,0,73768,Yes,School,10,Yes,No,6,9.64,2,0
17,Male,64,7,52,1,45739,Yes,School,1,No,No,7,5.56,2,0
19,Male,87,3,95,6,44785,No,School,3,Yes,No,7,9.12,2,0
18,Male,52,7,86,9,41980,Yes,School,18,Yes,No,1,9.18,1,0
21,Female,48,4,70,1,99335,No,Postgraduate,12,No,Yes,5,8.64,4,1
22,Male,92,6,99,5,95016,Yes,Postgraduate,29,No,No,3,5.01,5,1
23,Female,52,2,73,2,11609,No,School,3,No,Yes,6,8.93,0,1
20,Female,70,6,78,3,76253,No,Postgraduate,26,Yes,Yes,3,8.62,4,0
23,Male,80,7,42,7,95481,Yes,Postgraduate,25,No,No,1,7.58,1,0
24,Male,50,2,47,2,38141,No,Graduate,29,Yes,Yes,6,6.02,0,1
17,Male,43,1,62,9,40009,No,School,9,Yes,No,6,5.58,0,1
22,Female,73,5,53,5,16782,Yes,Postgraduate,26,No,Yes,5,4.73,0,0
24,Male,77,6,95,0,35933,No,Postgraduate,2,Yes,Yes,3,7.06,5,0
21,Female,85,4,94,6,87154,Yes,School,3,No,No,8,7.51,3,0
20,Female,43,1,66,7,18307,No,Graduate,14,Yes,No,3,6.16,1,1
18,Male,77,5,93,7,85874,Yes,School,4,No,No,3,6.85,5,0
22,Male,58,4,68,2,48346,No,Graduate,25,Yes,No,5,6.18,5,1
22,Female,45,3,78,9,60772,No,School,19,Yes,Yes,6,7.85,3,1
17,Female,73,4,92,0,82084,No,School,13,No,No,1,9.41,0,0
25,Female,57,2,78,8,50149,No,School,7,Yes,Yes,3,4.98,3,1
22,Male,52,2,40,5,96700,Yes,School,12,No,Yes,4,6.29,3,1
19,Female,80,3,56,8,37526,Yes,Graduate,3,Yes,Yes,8,4.85,5,1
20,Male,62,1,80,6,95712,Yes,Graduate,23,Yes,Yes,8,7.75,1,0
20,Female,58,5,69,0,78477,Yes,Postgraduate,23,Yes,Yes,5,8.37,2,0
19,Female,84,4,92,0,15695,Yes,School,9,No,Yes,2,9.59,3,0
19,Male,50,2,52,5,49169,Yes,Graduate,2,No,No,1,5.67,3,1
19,Female,40,1,60,4,57947,Yes,Graduate,29,No,Yes,4,9.7,0,1
20,Male,63,3,58,8,57224,No,Graduate,22,No,Yes,3,4.38,0,0
23,Male,93,7,92,1,55865,No,School,9,No,Yes,2,7.62,5,0
20,Female,46,6,58,7,35553,No,Postgraduate,12,Yes,No,1,4.34,0,1
25,Male,64,7,96,4,70410,No,Graduate,12,Yes,No,5,9.36,4,0
17,Male,60,7,64,1,34816,Yes,School,15,No,Yes,2,7.18,3,0
24,Female,54,2,61,9,65026,Yes,Graduate,2,Yes,No,6,8.02,0,1
23,Male,40,3,70,5,60705,Yes,Graduate,18,Yes,Yes,7,8.99,1,0
18,Male,51,4,56,9,71922,No,Postgraduate,13,Yes,No,2,4.9,4,1
24,Male,97,7,94,7,83914,Yes,Graduate,14,Yes,Yes,7,4.23,5,1
17,Female,46,7,62,3,11881,No,Graduate,5,No,No,8,9.27,2,0
25,Male,54,5,71,1,49567,Yes,School,26,Yes,No,4,5.89,3,1
25,Female,60,2,49,4,57365,Yes,School,10,No,No,1,4.77,3,1
18,Female,58,2,49,1,89211,Yes,Postgraduate,12,No,Yes,4,6.81,1,1
23,Male,99,4,75,1,80122,Yes,School,10,Yes,Yes,4,7.59,2,0
19,Male,68,6,47,5,35006,No,School,24,No,Yes,3,4.19,2,0
23,Male,64,1,93,9,51198,No,Postgraduate,11,Yes,No,5,5.65,5,1
25,Female,72,5,91,8,32831,Yes,Graduate,25,Yes,No,2,4.2,5,1
20,Male,88,2,59,3,26459,No,Postgraduate,2,Yes,Yes,1,6.52,4,1
17,Male,71,5,71,5,42443,Yes,School,5,No,No,8,9.37,3,0
18,Male,88,2,89,6,52316,Yes,Postgraduate,7,No,Yes,6,9.9,0,0
17,Male,74,5,53,5,74486,Yes,Graduate,6,No,Yes,5,7.82,5,0
21,Male,83,3,89,7,15877,Yes,Postgraduate,22,Yes,Yes,5,4.97,1,0
21,Female,77,7,67,3,49553,No,School,23,Yes,Yes,1,9.44,1,0
23,Female,65,2,85,0,14922,Yes,School,3,Yes,No,5,7.1,1,0
25,Male,50,5,91,6,14686,Yes,Postgraduate,13,No,No,3,4.92,5,1
25,Male,74,1,92,2,42766,No,Graduate,3,Yes,No,5,9.53,5,1
19,Male,47,3,63,5,89943,Yes,Postgraduate,26,Yes,Yes,8,8.54,1,0
19,Male,85,3,54,1,42006,No,Graduate,25,No,No,8,8.39,5,0
19,Female,53,1,61,8,41422,Yes,Graduate,24,No,Yes,3,8.26,0,1
20,Male,49,5,69,0,22205,Yes,Postgraduate,21,No,Yes,2,5.2,0,1
24,Female,41,4,43,5,96590,Yes,Graduate,6,Yes,Yes,2,5.27,4,1
22,Female,85,1,52,5,33527,Yes,School,11,Yes,Yes,4,8.13,3,1
24,Male,48,5,98,4,28443,Yes,Postgraduate,28,Yes,Yes,8,5.32,0,1
17,Female,42,1,62,4,26524,Yes,Graduate,26,No,Yes,3,6.63,4,1
24,Female,60,1,47,0,38202,No,School,17,No,No,6,8.69,2,0
20,Female,65,2,57,9,75552,Yes,Postgraduate,10,No,No,2,8.7,3,1
17,Female,47,5,51,4,56142,No,School,12,No,No,5,6.72,0,0
24,Male,87,4,94,1,71692,No,School,17,Yes,No,1,8.75,2,0
20,Male,41,7,70,6,92384,Yes,School,4,Yes,Yes,1,9.03,4,1
22,Female,45,2,53,2,30855,No,Graduate,2,Yes,Yes,7,7.93,0,1
24,Male,67,1,73,3,93747,Yes,Postgraduate,11,Yes,No,8,5.37,0,1
20,Male,92,7,57,2,70372,No,Postgraduate,7,Yes,No,3,5.64,5,1
19,Male,68,6,95,2,35095,Yes,Graduate,2,Yes,No,6,5.89,2,0
25,Male,65,7,73,3,48724,No,Postgraduate,26,Yes,No,4,4.7,0,0
19,Male,64,1,50,4,59241,No,School,18,Yes,No,5,5.64,1,1
25,Female,51,1,80,0,62003,Yes,Postgraduate,21,No,No,3,5.26,5,1
18,Male,44,5,51,3,78379,No,Graduate,4,No,No,7,6.73,5,1
18,Male,73,5,88,7,25972,Yes,School,8,Yes,No,1,9.45,0,0
18,Male,87,2,54,9,32927,Yes,Graduate,20,No,Yes,3,4.63,5,1
22,Male,76,4,96,6,76630,Yes,School,14,Yes,Yes,5,8.32,3,0
19,Female,54,2,70,8,62347,Yes,School,12,Yes,Yes,6,8.12,2,1
25,Female,83,3,88,4,98860,Yes,Postgraduate,22,No,Yes,8,4.57,3,1
20,Female,75,1,97,9,96210,No,School,21,Yes,No,6,9.54,4,1
17,Female,54,7,68,3,79518,No,Graduate,27,Yes,Yes,2,7.41,3,1
20,Male,82,6,65,7,55283,No,Postgraduate,18,Yes,No,5,6.18,1,0
17,Female,87,1,57,8,91326,Yes,Graduate,11,Yes,Yes,7,8.54,5,1
21,Male,62,1,71,6,22205,No,School,29,Yes,No,2,5.54,5,1
20,Male,45,2,61,6,99874,No,Graduate,28,Yes,No,2,8.16,1,1
24,Male,85,6,77,4,22748,No,Graduate,8,Yes,Yes,2,4.24,5,1
24,Male,89,6,56,3,31097,No,School,2,No,Yes,3,9.04,3,0
23,Male,83,6,62,9,13092,No,Postgraduate,25,No,No,7,6.69,4,0
19,Female,98,2,63,0,63311,Yes,Graduate,15,Yes,No,1,7.82,0,0
17,Female,82,1,89,9,32692,Yes,School,9,No,No,6,5.33,1,1
17,Female,84,2,47,9,33862,No,Postgraduate,19,Yes,Yes,8,8.06,3,1
19,Female,60,5,80,6,89507,Yes,Postgraduate,20,Yes,Yes,3,8.63,3,0
22,Male,62,5,45,0,90152,Yes,Postgraduate,8,Yes,No,1,6.84,3,0
23,Female,82,2,44,0,80469,No,Graduate,25,Yes,Yes,6,7.71,0,0
22,Male,94,6,83,4,14926,No,Graduate,19,No,No,8,6.74,2,0
22,Female,55,1,96,8,13969,Yes,Graduate,5,No,Yes,7,9.36,5,1
22,Male,86,2,68,5,45733,No,Postgraduate,11,No,Yes,8,6.99,5,1
19,Male,92,2,67,2,79855,Yes,Graduate,15,No,Yes,7,9.05,4,1
22,Female,99,2,50,2,51743,Yes,School,8,Yes,Yes,5,8.81,2,0
24,Male,54,3,96,6,49876,No,Graduate,19,No,Yes,8,6.46,5,1
18,Male,64,5,40,5,30323,Yes,Graduate,23,Yes,No,6,5.38,4,1
21,Female,75,7,82,8,26428,Yes,Postgraduate,27,Yes,No,6,6.44,4,0
17,Male,50,6,58,5,44578,Yes,Graduate,8,No,Yes,7,8.96,3,1
17,Female,90,4,48,4,96486,No,School,26,Yes,No,6,5.37,1,0
21,Female,54,7,66,9,74140,No,Postgraduate,27,No,No,4,7.15,3,1
19,Female,43,6,73,6,93829,No,School,19,No,Yes,5,8.84,0,0
20,Male,60,4,83,0,16364,No,Postgraduate,18,No,No,3,6.12,5,0
19,Male,52,3,43,6,45349,Yes,Postgraduate,10,No,Yes,8,7.85,4,1
17,Male,61,2,75,2,10691,No,Graduate,29,No,No,3,5.47,1,1
17,Female,58,3,57,8,76467,No,School,7,Yes,No,1,4.66,5,1
21,Male,73,3,54,5,55896,No,Postgraduate,28,No,No,3,8.77,4,0
22,Female,53,7,90,8,67062,No,Graduate,9,No,No,2,4.59,4,1
19,Female,43,1,52,4,89762,Yes,Postgraduate,1,Yes,No,6,5.63,3,1
25,Male,87,7,58,6,23861,Yes,Postgraduate,19,No,No,3,9.13,1,0
21,Female,92,5,88,3,98302,Yes,Postgraduate,5,No,No,1,6.08,1,0
24,Male,91,4,45,6,73928,No,Postgraduate,19,Yes,Yes,1,9.84,5,0
17,Male,85,2,87,0,93231,No,Postgraduate,1,Yes,Yes,2,9.88,4,1
21,Male,66,7,95,6,51347,Yes,Postgraduate,15,No,Yes,1,5.61,1,0
19,Male,68,4,51,7,13121,No,Graduate,16,Yes,Yes,7,4.25,1,0
17,Male,86,6,90,4,93793,No,Postgraduate,23,No,No,4,8.23,5,0
20,Female,67,4,76,1,38164,Yes,School,7,Yes,No,7,6.71,3,0
21,Female,74,6,56,4,35491,Yes,Graduate,26,No,No,6,4.6,2,0
23,Female,47,7,97,5,69222,No,School,12,No,Yes,6,8.25,0,0
17,Male,55,5,62,1,33165,No,Postgraduate,8,No,Yes,6,4.19,2,1
19,Male,81,7,65,5,13748,No,School,5,Yes,Yes,5,9.22,1,0
18,Male,75,6,68,5,36553,Yes,Postgraduate,10,No,No,3,4.83,4,1
25,Female,69,4,72,0,70380,Yes,Postgraduate,28,Yes,Yes,4,4.76,0,0
22,Male,57,4,99,0,54331,Yes,Graduate,21,No,No,3,5.05,0,1
19,Female,41,6,66,9,49560,Yes,Graduate,5,No,Yes,4,9.76,4,1
24,Female,88,3,64,2,63865,No,Postgraduate,17,No,No,3,8.16,0,0
24,Male,52,5,95,9,56686,Yes,Graduate,26,No,Yes,2,8.81,4,1
18,Male,43,1,94,9,85910,Yes,School,5,No,No,8,6.39,0,1
22,Female,65,2,49,2,14675,No,Graduate,22,Yes,Yes,7,6.02,5,1
23,Male,64,4,86,3,76706,No,Graduate,15,Yes,Yes,1,5.41,5,1
18,Female,69,2,62,1,87986,No,School,13,Yes,No,1,6.88,2,0
18,Male,50,1,60,8,86216,Yes,Graduate,28,No,No,7,7.31,0,1
17,Male,46,7,60,9,20068,No,Postgraduate,1,No,Yes,2,7.79,3,1
24,Female,70,2,82,6,64460,No,School,11,Yes,No,4,5.54,4,1
17,Male,83,1,52,6,56418,Yes,Postgraduate,23,No,Yes,7,9.69,0,0
25,Female,49,6,76,5,36206,Yes,School,1,No,No,5,5.02,5,1
22,Male,78,3,72,2,10287,No,Postgraduate,11,No,Yes,4,9.79,5,0
23,Female,52,4,63,5,32337,Yes,Postgraduate,18,Yes,No,1,4.09,4,1
23,Female,70,1,83,7,30666,No,Graduate,18,Yes,Yes,5,6.89,3,1
19,Male,46,2,50,7,11161,No,Postgraduate,21,Yes,Yes,3,6.0,0,1
18,Female,95,4,56,8,48751,Yes,Graduate,26,Yes,Yes,5,6.69,0,0
25,Male,88,3,43,0,92063,No,School,16,Yes,No,4,7.42,3,0
24,Male,81,6,86,0,99389,Yes,Postgraduate,13,No,Yes,2,6.61,3,0
23,Male,81,7,64,2,24758,Yes,Postgraduate,7,No,No,3,6.49,3,0
25,Female,95,4,69,2,75780,Yes,School,1,No,No,4,8.4,5,0
20,Female,75,7,48,9,13178,No,School,26,No,No,3,8.12,4,0
20,Male,59,1,60,7,41831,Yes,Postgraduate,16,Yes,Yes,5,9.0,3,1
17,Male,43,3,59,9,12176,Yes,School,1,Yes,No,1,5.5,4,1
24,Female,93,2,58,0,43654,No,Graduate,17,No,No,4,7.66,2,0
19,Male,46,3,58,1,36627,No,School,6,Yes,No,8,7.51,0,0
23,Male,93,3,51,1,62550,No,School,2,No,Yes,2,6.22,0,0
18,Female,40,5,76,2,54910,No,Postgraduate,17,No,No,8,6.92,1,0
18,Male,83,3,81,5,68251,Yes,Graduate,6,No,No,8,5.88,2,0
23,Female,95,3,56,0,45422,Yes,School,14,No,No,7,4.85,3,1
22,Male,84,4,76,1,21984,Yes,Graduate,18,Yes,No,5,5.28,3,1
19,Female,81,2,93,0,99312,No,Graduate,6,No,Yes,4,4.63,5,1
25,Male,86,4,87,4,71386,No,Graduate,10,Yes,Yes,2,8.1,2,0
22,Male,98,4,78,6,93291,Yes,Postgraduate,24,No,No,4,7.96,3,0
22,Female,52,1,67,7,17135,No,School,18,No,No,5,9.7,1,1
17,Male,94,4,80,9,10320,No,Postgraduate,27,No,No,4,8.38,4,0
20,Female,61,5,74,0,31684,Yes,School,9,No,No,3,4.31,0,0
22,Male,93,5,86,6,65913,Yes,School,8,Yes,Yes,5,9.31,2,0
22,Female,60,7,87,4,98774,No,Postgraduate,28,No,Yes,4,9.18,0,0
